agency,last_name,first_name,middle_name,recent_employment,funding_source,is_team_lead,full_name,row_index
Consumer Financial Protection Bureau,English,Leandra,,"State of New York, Department of Financial Services",Volunteer,True,Leandra English,1
Consumer Financial Protection Bureau,Alvarez,Manny,,California Department of Financial Protection & Innovation,Volunteer,False,Manny Alvarez,2
Consumer Financial Protection Bureau,Bynum,Bill,,Hope Enterprise Corporation,Volunteer,False,Bill Bynum,3
Consumer Financial Protection Bureau,Mayorga,David,,Office of the Attorney General for the District of Columbia,Volunteer,False,David Mayorga,4
Consumer Financial Protection Bureau,Nassar,Josh,,"The United Automobile, Aerospace and Agricultural Implement Workers",Volunteer,False,Josh Nassar,5
Consumer Financial Protection Bureau,Shearer,Brian,,"Justice Catalyst Law, Inc.",Volunteer,False,Brian Shearer,6
Consumer Financial Protection Bureau,Thompson,Diane,,Self-employed,Volunteer,False,Diane Thompson,7
Consumer Financial Protection Bureau,Vasan,Ashwin,,Sophant Consulting,Volunteer,False,Ashwin Vasan,8
Council of Economic Advisers,Gimbel,Martha,,Schmidt Futures,Volunteer,True,Martha Gimbel,1
Council of Economic Advisers,Jones,Damon,,"University of Chicago, Harris School of Public Policy Studies",Volunteer,False,Damon Jones,2
Council of Economic Advisers,Shambaugh,Jay,,George Washington University,Volunteer,False,Jay Shambaugh,3
Council on Environmental Quality,Martinez,Cecilia,,"Center for Earth, Energy and Democracy",Volunteer,True,Cecilia Martinez,1
Council on Environmental Quality,Buffa,Nikki,,"Latham & Watkins, LLP",Volunteer,False,Nikki Buffa,2
Council on Environmental Quality,Greczmiel,Horst,,"The Clark Group, LLC",Volunteer,False,Horst Greczmiel,3
Council on Environmental Quality,Mohtadi,Shara,,Bloomberg Philanthropies,Volunteer,False,Shara Mohtadi,4
Department of Defense,Hicks,Kath,,Center for Strategic and International Studies,Volunteer,True,Kath Hicks,1
Department of Defense,Blume,Susanna,,Center for a New American Security,Volunteer,False,Susanna Blume,2
Department of Defense,Burke,Sharon,,New America,Volunteer,False,Sharon Burke,3
Department of Defense,Coe,Lisa,,"OtherSide Consulting, LLC",Volunteer,False,Lisa Coe,4
Department of Defense,Dalton,Melissa,,Center for Strategic and International Studies,Volunteer,False,Melissa Dalton,5
Department of Defense,Estrada,John,,Department of State (Retired),Volunteer,False,John Estrada,6
Department of Defense,Garcia,Victor,,Rebellion Defense,Volunteer,False,Victor Garcia,7
Department of Defense,Gibson,Karen,,Self-employed,Volunteer,False,Karen Gibson,8
Department of Defense,Howard,Michelle,,"George Washington University, The Elliott School of International Affairs",Volunteer,False,Michelle Howard,9
Department of Defense,Hunter,Andrew,,Center for Strategic and International Studies,Volunteer,False,Andrew Hunter,10
Department of Defense,McCord,Mike,,The Stennis Center for Public Service,Volunteer,False,Mike McCord,11
Department of Defense,Mitha,Farooq,,"Imbue Group, Inc.",Volunteer,False,Farooq Mitha,12
Department of Defense,Mora,Frank,,Florida International University,Volunteer,False,Frank Mora,13
Department of Defense,Negron,Michael,,State of Illinois,Volunteer,False,Michael Negron,14
Department of Defense,Pettyjohn,Stacie,,RAND Corporation,Volunteer,False,Stacie Pettyjohn,15
Department of Defense,Ratner,Ely,,Center for a New American Security,Volunteer,False,Ely Ratner,16
Department of Defense,Rosenblum,Deborah,,Nuclear Threat Initiative,Volunteer,False,Deborah Rosenblum,17
Department of Defense,Sawyer,Lisa,,JPMorgan Chase & Co,Volunteer,False,Lisa Sawyer,18
Department of Defense,Skelly,Shawn,,"CACI International, Inc.",Volunteer,False,Shawn Skelly,19
Department of Defense,Tanielian,Terri,,RAND Corporation,Volunteer,False,Terri Tanielian,20
Department of Defense,Valdez,Veronica,,The Port of Seattle,Volunteer,False,Veronica Valdez,21
Department of Defense,Wada,Debra,,"Senshi Ame Advisors, LLC",Volunteer,False,Debra Wada,22
Department of Defense,Wormuth,Christine,,RAND Corporation,Volunteer,False,Christine Wormuth,23
Department of Homeland Security,Jaddou,Ur,,America’s Voice,Volunteer,True,Ur Jaddou,1
Department of Homeland Security,Baran,Amanda,,Self-employed,Volunteer,False,Amanda Baran,2
Department of Homeland Security,Coen,Michael,,Innovative Emergency Management,Volunteer,False,Michael Coen,3
Department of Homeland Security,Cohen,John,,Argonne National Laboratory,Volunteer,False,John Cohen,4
Department of Homeland Security,Coleman,Pam,,State of New Mexico,Volunteer,False,Pam Coleman,5
Department of Homeland Security,Durkovich,Caitlin,,"Toffler Associates, Inc.",Volunteer,False,Caitlin Durkovich,6
Department of Homeland Security,Flores,Andrea,,American Civil Liberties Union,Volunteer,False,Andrea Flores,7
Department of Homeland Security,Fugate,Craig,,"One Concern, Inc.",Volunteer,False,Craig Fugate,8
Department of Homeland Security,George,Asha,M.,Bipartisan Commission on Biodefense,Volunteer,False,Asha M. George,9
Department of Homeland Security,Meyer,Jonathan,,"Sheppard Mullin Richter & Hampton, LLP",Volunteer,False,Jonathan Meyer,10
